,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
9113,POINT (16.340342389892953 48.2033895988408),,,,,1919.0,1919.0,organisationen,Verlag Aufschwung,https://www.geschichtewiki.wien.gv.at/?curid=69821,Kaiserstraße 62,Verlag
9147,POINT (16.340743053609287 48.1992065620203),,,,,,1863.0,bauwerke,Zum göttlichen Heiland (Kloster),https://www.geschichtewiki.wien.gv.at/?curid=7321,Kaiserstraße 25 Kirche,Katholische Kirche
9149,POINT (16.342009015232033 48.19812304069634),,,,,1945.0,1944.0,organisationen,Zwangsarbeiterlager Apollogasse 20,https://www.geschichtewiki.wien.gv.at/?curid=61437,Apollogasse 20,NS-Institution
9209,POINT (16.34793701850052 48.20532935834938),,,,,,2012.0,organisationen,NEOS,https://www.geschichtewiki.wien.gv.at/?curid=64498,Neustiftgasse 73/3,Politische Partei
9270,POINT (16.347281015940023 48.20667004095614),,,,,1935.0,1865.0,organisationen,VS/HS Lerchenfelder Straße 61,https://www.geschichtewiki.wien.gv.at/?curid=70091,Lerchenfelder Straße 61/1,Schule
9271,POINT (16.344870016017758 48.20345504118902),,,,,1958.0,,organisationen,VS/HS Zieglergasse 49,https://www.geschichtewiki.wien.gv.at/?curid=70088,Zieglergasse 49,Schule
9272,POINT (16.341664446696182 48.20601124790739),,,,,,1891.0,organisationen,WMS Neustiftgasse 98-102,https://www.geschichtewiki.wien.gv.at/?curid=68590,Neustiftgasse 98(SCHULE),Schule
9275,POINT (16.352409161115183 48.20406751227791),,,,,,1843.0,organisationen,Notre Dame de Sion,https://www.geschichtewiki.wien.gv.at/?curid=22006,Burggasse 35,Institution
9297,POINT (16.341946306155553 48.19651069497518),,,,,,1920.0,organisationen,Mariahilfer Zentralpalast - Stafa Kino,https://www.geschichtewiki.wien.gv.at/?curid=57909,Mariahilfer Straße 120,Kino
9313,POINT (16.35087002828909 48.200543273358576),,,,,,,topografische_objekte,Zollamtsgründe,https://www.geschichtewiki.wien.gv.at/?curid=8453,Zollergasse 14,
9399,POINT (16.34912701511954 48.203434040725256),,,,,1945.0,1938.0,organisationen,NSDAP-Ortsgruppe Am Neubau,https://www.geschichtewiki.wien.gv.at/?curid=59081,Neubaugasse 64-66/2,NS-Institution
9409,POINT (16.349936015519283 48.20564604073906),,,,,1945.0,1938.0,organisationen,NSDAP-Ortsgruppe Brillantengrund,https://www.geschichtewiki.wien.gv.at/?curid=59083,Döblergasse 2,NS-Institution
9417,POINT (16.34074606784004 48.20131448565165),,,,,1999.0,1909.0,organisationen,Erika-Kino,https://www.geschichtewiki.wien.gv.at/?curid=13921,Kaiserstraße 44-46/2,Kino
9421,POINT (16.355850015531527 48.20592704054735),,,,,1920.0,1910.0,organisationen,Wiener Kunstfilm-Industrie,https://www.geschichtewiki.wien.gv.at/?curid=56294,Museumstraße 7,Institution
9453,POINT (16.354539521956177 48.20473087300365),,,,Verkehrsfläche,,,TopografischeObjekte,Faßziehergasse,https://www.geschichtewiki.wien.gv.at/?curid=14801,Faßziehergasse 5,Verkehrsfläche
9559,POINT (16.349770843755543 48.20555022506007),,,,Verkehrsfläche,,1907.0,TopografischeObjekte,Döblergasse,https://www.geschichtewiki.wien.gv.at/?curid=7024,Döblergasse 2,Verkehrsfläche
9600,POINT (16.354900185362375 48.20445447804801),,,,Verkehrsfläche,,1909.0,topografische_objekte,Gardegasse,https://www.geschichtewiki.wien.gv.at/?curid=8603,Gardegasse 2,Verkehrsfläche
9755,POINT (16.355508410629145 48.20320958774769),,,,Verkehrsfläche,,1862.0,topografische_objekte,Gutenberggasse,https://www.geschichtewiki.wien.gv.at/?curid=29189,Spittelberggasse 12,Verkehrsfläche
10181,POINT (16.34130267634619 48.207721557949235),,,,Verkehrsfläche,,1903.0,TopografischeObjekte,Enzingergasse,https://www.geschichtewiki.wien.gv.at/?curid=19165,Enzingergasse 2,Verkehrsfläche
10452,POINT (16.338570969903987 48.196984042111694),,,,Verkehrsfläche,,1958.0,topografische_objekte,Europaplatz,https://www.geschichtewiki.wien.gv.at/?curid=5497,U-Bahn Station Westbahnhof U Station,Verkehrsfläche
10591,POINT (16.353530453481984 48.203077816065814),,,,Verkehrsfläche,,,topografische_objekte,Sigmundsgasse,https://www.geschichtewiki.wien.gv.at/?curid=19226,Sigmundsgasse 8,Verkehrsfläche
10682,POINT (16.350631099616823 48.20308861085994),,,,Verkehrsfläche,,,topografische_objekte,Stuckgasse,https://www.geschichtewiki.wien.gv.at/?curid=21334,Stuckgasse 8,Verkehrsfläche
10715,POINT (16.34320479194782 48.20221379430189),,,,Verkehrsfläche,,,topografische_objekte,Schottenfeldgasse,https://www.geschichtewiki.wien.gv.at/?curid=12837,Schottenfeldgasse 48A,Verkehrsfläche
10722,POINT (16.35461379124854 48.20338211993353),,,,Verkehrsfläche,,1907.0,topografische_objekte,Schrankgasse,https://www.geschichtewiki.wien.gv.at/?curid=13192,Schrankgasse 10,Verkehrsfläche
11009,POINT (16.35531167639186 48.20311301908064),,,,Verkehrsfläche,,1862.0,topografische_objekte,Spittelberggasse,https://www.geschichtewiki.wien.gv.at/?curid=8892,Spittelberggasse 12,Verkehrsfläche
11090,POINT (16.352340852076498 48.20443961666162),,,,Verkehrsfläche,,,topografische_objekte,St.-Ulrichs-Platz,https://www.geschichtewiki.wien.gv.at/?curid=21413,Zeismannsbrunngasse 1/3,Verkehrsfläche
11340,POINT (16.342496304234384 48.20036332198226),,,,Verkehrsfläche,,,topografische_objekte,Seidengasse,https://www.geschichtewiki.wien.gv.at/?curid=15622,Seidengasse 27,Verkehrsfläche
11508,POINT (16.354734826403327 48.20222567105889),,,,Verkehrsfläche,,,topografische_objekte,Stiftgasse,https://www.geschichtewiki.wien.gv.at/?curid=17906,Stiftgasse 21,Verkehrsfläche
11559,POINT (16.352777852288725 48.20222197717372),,,,Verkehrsfläche,,,topografische_objekte,Siebensterngasse,https://www.geschichtewiki.wien.gv.at/?curid=17239,Siebensterngasse 25/1,Verkehrsfläche
11560,POINT (16.35174270164115 48.20221057778529),,,,Verkehrsfläche,,2009.0,topografische_objekte,Siebensternplatz,https://www.geschichtewiki.wien.gv.at/?curid=17246,Siebensterngasse 38,Verkehrsfläche
11576,POINT (16.340813357667674 48.198669015565216),,,,Verkehrsfläche,,1896.0,topografische_objekte,Stollgasse,https://www.geschichtewiki.wien.gv.at/?curid=18681,Stollgasse 7,Verkehrsfläche
11633,POINT (16.348928956361682 48.199843963620076),,,,Verkehrsfläche,,1862.0,TopografischeObjekte,Lindengasse,https://www.geschichtewiki.wien.gv.at/?curid=17177,Lindengasse 38,Verkehrsfläche
11798,POINT (16.349069461465863 48.20221234771401),,,,Verkehrsfläche,,1862.0,topografische_objekte,Neubaugasse,https://www.geschichtewiki.wien.gv.at/?curid=17026,Neubaugasse 41,Verkehrsfläche
11799,POINT (16.338403963558555 48.20001247792248),,,,Verkehrsfläche,,,topografische_objekte,Neubaugürtel,https://www.geschichtewiki.wien.gv.at/?curid=17031,Seidengasse 45,Verkehrsfläche
11854,POINT (16.35414052286203 48.20586362023531),,,,Verkehrsfläche,,1843.0,topografische_objekte,Mechitaristengasse,https://www.geschichtewiki.wien.gv.at/?curid=28997,Mechitaristengasse 3,Verkehrsfläche
11879,POINT (16.346672114243322 48.20559952082156),,,,Verkehrsfläche,,1100.0,topografische_objekte,Neustiftgasse,https://www.geschichtewiki.wien.gv.at/?curid=18519,Neustiftgasse 64,Verkehrsfläche
11989,POINT (16.34210345773028 48.207568581328175),,,,Verkehrsfläche,,1876.0,TopografischeObjekte,Mentergasse,https://www.geschichtewiki.wien.gv.at/?curid=1516,Lerchenfelder Straße 111(PFARRE),Verkehrsfläche
12333,POINT (16.349991959697668 48.200966267705546),,,,Verkehrsfläche,,,topografische_objekte,Mondscheingasse,https://www.geschichtewiki.wien.gv.at/?curid=12089,Mondscheingasse 16,Verkehrsfläche
12541,POINT (16.359357511216377 48.203675035827104),,,,Verkehrsfläche,,1996.0,topografische_objekte,Museumsplatz,https://www.geschichtewiki.wien.gv.at/?curid=21026,Museumsplatz VOR 1(STAND),Verkehrsfläche
12542,POINT (16.356254364001945 48.20541539903539),,,,Verkehrsfläche,,1870.0,topografische_objekte,Museumstraße,https://www.geschichtewiki.wien.gv.at/?curid=14837,Neustiftgasse 3,Verkehrsfläche
12552,POINT (16.347609120206755 48.20527630005084),,,,Verkehrsfläche,,,topografische_objekte,Myrthengasse,https://www.geschichtewiki.wien.gv.at/?curid=14951,Myrthengasse 10,Verkehrsfläche
12814,POINT (16.342421744466773 48.20751711503657),,,,Verkehrsfläche,,2014.0,topografische_objekte,Ceija-Stojka-Platz,https://www.geschichtewiki.wien.gv.at/?curid=33478,Lerchenfelder Straße 103-109,Verkehrsfläche
12818,POINT (16.347800981498306 48.20031220748768),,,,Verkehrsfläche,,1938.0,TopografischeObjekte,Ahornergasse,https://www.geschichtewiki.wien.gv.at/?curid=17478,Ahornergasse 7,Verkehrsfläche
12841,POINT (16.342568673137293 48.198133426689886),,,,Verkehrsfläche,,1862.0,topografische_objekte,Apollogasse,https://www.geschichtewiki.wien.gv.at/?curid=26107,Apollogasse 9,Verkehrsfläche
12975,POINT (16.356601524191113 48.20542069950838),,,,Verkehrsfläche,,2016.0,TopografischeObjekte,Arthur-Schnitzler-Platz,https://www.geschichtewiki.wien.gv.at/?curid=47242,Arthur-Schnitzler-Platz 1,Verkehrsfläche
13124,POINT (16.35117879402976 48.205288866386944),,,,Verkehrsfläche,,2008.0,topografische_objekte,Augustinplatz,https://www.geschichtewiki.wien.gv.at/?curid=32979,Neustiftgasse 43/1,Verkehrsfläche
13261,POINT (16.34426426677707 48.20711518503163),,,,Verkehrsfläche,,1814.0,topografische_objekte,Badhausgasse,https://www.geschichtewiki.wien.gv.at/?curid=2414,Badhausgasse 5-7/1,Verkehrsfläche
13276,POINT (16.356908216752984 48.2034359870259),,,,Verkehrsfläche,,1862.0,TopografischeObjekte,Breite Gasse,https://www.geschichtewiki.wien.gv.at/?curid=6610,Breite Gasse 7,Verkehrsfläche
13332,POINT (16.345983899679187 48.202225756674714),,,,Verkehrsfläche,,1720.0,topografische_objekte,Bandgasse,https://www.geschichtewiki.wien.gv.at/?curid=2735,Bandgasse 19,Verkehrsfläche
13494,POINT (16.343470043725773 48.20192354547344),Sonstiges,,,,,1788.0,organisationen,Zum weißen Hirschen (Apotheke),https://www.geschichtewiki.wien.gv.at/?curid=15945,Westbahnstraße 32-34,Apotheke
13609,POINT (16.347218792297234 48.204288403774456),,,,Verkehrsfläche,,,topografische_objekte,Burggasse,https://www.geschichtewiki.wien.gv.at/?curid=13610,Burggasse 70,Verkehrsfläche
13638,POINT (16.34801275803221 48.19947409562087),,,,Verkehrsfläche,,1803.0,TopografischeObjekte,Andlergasse,https://www.geschichtewiki.wien.gv.at/?curid=23092,Richtergasse 8,Verkehrsfläche
13645,POINT (16.347226635391017 48.19861193973654),,,,Verkehrsfläche,,,TopografischeObjekte,Andreasgasse,https://www.geschichtewiki.wien.gv.at/?curid=23101,Andreasgasse 8,Verkehrsfläche
13734,POINT (16.341546623295446 48.20675283287283),,,,Verkehrsfläche,,1862.0,TopografischeObjekte,Bernardgasse,https://www.geschichtewiki.wien.gv.at/?curid=9780,Bernardgasse 22,Verkehrsfläche
13800,POINT (16.3392024778445 48.196226254931624),,,,Park,,,TopografischeObjekte,Ohrfandlpark,https://www.geschichtewiki.wien.gv.at/?curid=24720,U-Bahn Station Westbahnhof U Stand 1,Grünfläche
13833,POINT (16.352131015342053 48.20402304114645),,,,,1945.0,1942.0,organisationen,Lager Burggasse 37,https://www.geschichtewiki.wien.gv.at/?curid=60552,Burggasse 37(SCHULE),NS-Institution
13834,POINT (16.3472490159 48.20438404111671),,,,,1945.0,1942.0,organisationen,Lager Burggasse 70,https://www.geschichtewiki.wien.gv.at/?curid=60553,Burggasse 70,NS-Institution
13838,POINT (16.341422015625923 48.20400704089033),,,,,1945.0,1942.0,organisationen,Lager Halbgasse 11,https://www.geschichtewiki.wien.gv.at/?curid=60554,Halbgasse 11,NS-Institution
13841,POINT (16.34396201581381 48.20268804092471),,,,,1945.0,1942.0,organisationen,Lager Kandlgasse 11,https://www.geschichtewiki.wien.gv.at/?curid=60557,Kandlgasse 11,NS-Institution
13842,POINT (16.344271015279606 48.20268204076548),,,,,1945.0,1942.0,organisationen,Lager Kandlgasse 9,https://www.geschichtewiki.wien.gv.at/?curid=60556,Kandlgasse 9,NS-Institution
13847,POINT (16.346647015985358 48.19759204075968),,,,,1945.0,1942.0,organisationen,Lager Mariahilfer Straße 88A,https://www.geschichtewiki.wien.gv.at/?curid=60544,Mariahilfer Straße 88A/3,NS-Institution
13848,POINT (16.35420001547217 48.20595104122173),,,,,1945.0,1942.0,organisationen,Lager Mechitaristengasse 4,https://www.geschichtewiki.wien.gv.at/?curid=60558,Mechitaristengasse 4,NS-Institution
13874,POINT (16.356166016440866 48.206168041173214),,,,Sonstiges,,,TopografischeObjekte,Schlapfenpromenade,https://www.geschichtewiki.wien.gv.at/?curid=8396,Weghuberpark,Sonstiges Topografisches Obj
13897,POINT (16.349111016084453 48.20343204064015),,,,,1945.0,1942.0,organisationen,Lager Neubaugasse 64-66,https://www.geschichtewiki.wien.gv.at/?curid=60560,Neubaugasse 57,NS-Institution
13898,POINT (16.34198601557504 48.20045104120699),,,,,1945.0,1942.0,organisationen,Lager Seidengasse 28,https://www.geschichtewiki.wien.gv.at/?curid=60561,Seidengasse 28,NS-Institution
13941,POINT (16.345002016170785 48.201796041184906),,,,Vorstadt,1850.0,1777.0,topografische_objekte,Schottenfeld (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=12706,Zieglergasse 38,Vorstadt
13961,POINT (16.351952940438633 48.204884430666844),,,,Sonstiges,,,topografische_objekte,Zeismannsbrunn,https://www.geschichtewiki.wien.gv.at/?curid=7494,Zeismannsbrunngasse 4,Ort
14021,POINT (16.3521433043392 48.20271307961458),,,,Park,,,TopografischeObjekte,Siebensternpark,https://www.geschichtewiki.wien.gv.at/?curid=17242,Kirchengasse 34,Grünfläche
14076,POINT (16.34017967158386 48.207630629352664),,,,Grünfläche,,,topografische_objekte,Josef-Strauß-Park,https://www.geschichtewiki.wien.gv.at/?curid=20926,Kaiserstraße 100,Grünfläche
14170,POINT (16.34626527806726 48.20471950740786),,,,Grünfläche,,1979.0,topografische_objekte,Karl-Farkas-Park,https://www.geschichtewiki.wien.gv.at/?curid=25827,Burggasse 76/2,Grünfläche
14248,POINT (16.355206016093312 48.2033640412436),,,,Vorstadt,1850.0,,topografische_objekte,Spittelberg (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=6562,Spittelberggasse 7 VOR 7(MARONISTAND),Vorstadt
14252,POINT (16.352542015515514 48.205221040942796),,,,Vorstadt,1850.0,1202.0,topografische_objekte,St. Ulrich (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=21407,Neustiftgasse 31,Vorstadt
14300,POINT (16.357373015326196 48.20464404044743),,,,,1945.0,1942.0,organisationen,Lager Messepalast,https://www.geschichtewiki.wien.gv.at/?curid=60570,Museumsplatz 1(HOF E7/1),NS-Institution
14336,POINT (16.35135301549729 48.205422041200336),,,,Sonstiges,1862.0,,TopografischeObjekte,Strohplatzel (7),https://www.geschichtewiki.wien.gv.at/?curid=21022,Neustiftgasse 30,Sonstiges Topografisches Obj
14476,POINT (16.344867015658597 48.20725104098242),,,,Ort,,,TopografischeObjekte,Lerchenfeld,https://www.geschichtewiki.wien.gv.at/?curid=14351,Lerchenfelder Straße 81,Ort
14553,POINT (16.35555778334869 48.20620102567851),,,,Grünfläche,,1865.0,topografische_objekte,Weghuberpark,https://www.geschichtewiki.wien.gv.at/?curid=5740,Museumstraße 7,Grünfläche
14580,POINT (16.33853601560609 48.20542404082241),,,,,1945.0,1938.0,organisationen,NSDAP-Ortsgruppe Lerchenfeld,https://www.geschichtewiki.wien.gv.at/?curid=59092,Wimbergergasse 30,NS-Institution
14621,POINT (16.35279101546011 48.19936604057346),,,,Vorstadt,1850.0,1428.0,topografische_objekte,Mariahilf (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=25214,Mariahilfer Straße 52,Vorstadt
14622,POINT (16.344868979027645 48.199429894292514),,,,Park,,2013.0,TopografischeObjekte,Marianne-Fritz-Park,https://www.geschichtewiki.wien.gv.at/?curid=33493,Lindengasse 60,Grünfläche
14670,POINT (16.355647793014835 48.203729941986616),,,,Grünfläche,,1992.0,topografische_objekte,Gutenbergpark,https://www.geschichtewiki.wien.gv.at/?curid=29191,Gutenberggasse 21,Grünfläche
14849,POINT (16.345804871697446 48.2024336485712),,,,Bezirk,,1850.0,topografische_objekte,Neubau,https://www.geschichtewiki.wien.gv.at/?curid=16996,Bandgasse 21,Bezirk
14870,POINT (16.357019085485245 48.200754830695104),,,,,1945.0,,organisationen,Café Goethe,https://www.geschichtewiki.wien.gv.at/?curid=56291,Mariahilfer Straße 22-24/2,Kaffeehaus
14909,POINT (16.349019016143558 48.20312504108206),,,,Vorstadt,1850.0,1540.0,topografische_objekte,Neubau (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=16984,Neubaugasse 62,Vorstadt
14910,POINT (16.345804871697446 48.2024336485712),,,,Grünfläche,1928.0,1904.0,topografische_objekte,Neubauer Kinderpark,https://www.geschichtewiki.wien.gv.at/?curid=17013,Bandgasse 21,Grünfläche
14926,POINT (16.347501015979635 48.20555004115885),,,,Vorstadt,1850.0,1315.0,topografische_objekte,Neustift (Vorstadt),https://www.geschichtewiki.wien.gv.at/?curid=18490,Neustiftgasse 60,Vorstadt
15107,POINT (16.34969601530477 48.19931804131509),,,,,,,organisationen,Ala Film A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69069,Neubaugasse 12-14,Filmindustrie
15109,POINT (16.346628015139814 48.199467041193884),,,,,,,organisationen,Apollo Film Aktiengesellschaft,https://www.geschichtewiki.wien.gv.at/?curid=69060,Lindengasse 53,Filmindustrie
15110,POINT (16.349767015149624 48.198546041074394),,,,,,,organisationen,Fiag-Filmindustrie A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69070,Neubaugasse 1,Filmindustrie
15112,POINT (16.35069601617131 48.199738040586155),,,,,,,organisationen,Mondial Internationale Filmindustrie A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69059,Zollergasse 15,Filmindustrie
15113,POINT (16.349115016140395 48.20343904051675),,,,,,,organisationen,Pan-Film A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69068,Neubaugasse 57,Filmindustrie
15114,POINT (16.348929015764988 48.200871041102204),,,,,,,organisationen,Phönix Film-Aktiengesellschaftt,https://www.geschichtewiki.wien.gv.at/?curid=69071,Neubaugasse 25/1,Filmindustrie
15116,POINT (16.348871016076234 48.20257804086438),,,,,,,organisationen,Österreichische Kulturfilm A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69072,Neubaugasse 45,Filmindustrie
15131,POINT (16.345804871697446 48.2024336485712),,,,Katastralgemeinde,,,topografische_objekte,Neubau (Katastralgemeinde),https://www.geschichtewiki.wien.gv.at/?curid=67623,Bandgasse 21,Katastralgemeinde
15158,POINT (16.34919202228352 48.20179884134287),,,,,,1887.0,organisationen,MS Neubaugasse 42,https://www.geschichtewiki.wien.gv.at/?curid=68487,Neubaugasse 42(SCHULE),Schule
15160,POINT (16.354192185866353 48.2042151845777),,,,,,2009.0,organisationen,PTS Burggasse 14-16,https://www.geschichtewiki.wien.gv.at/?curid=68822,Burggasse 14-16,Schule
15162,POINT (16.353442015315625 48.20424704066904),,,,,1884.0,1866.0,organisationen,VS Burggasse 20,https://www.geschichtewiki.wien.gv.at/?curid=70070,Burggasse 20/2,Schule
15163,POINT (16.341158015716267 48.20285504098191),,,,,1956.0,1877.0,organisationen,VS Kandlgasse 30,https://www.geschichtewiki.wien.gv.at/?curid=70121,Kandlgasse 30,Schule
15167,POINT (16.348976016331857 48.20083404130371),,,,,1891.0,1864.0,organisationen,VS Neubaugasse 25,https://www.geschichtewiki.wien.gv.at/?curid=70072,Neubaugasse 25/1,Schule
15168,POINT (16.341664446696182 48.20601124790739),,,,,,1887.0,organisationen,VS Neustiftgasse 98-102,https://www.geschichtewiki.wien.gv.at/?curid=68554,Neustiftgasse 98(SCHULE),Schule
15172,POINT (16.353988643842783 48.203850541037326),,,,,,,organisationen,VS Stiftgasse 35,https://www.geschichtewiki.wien.gv.at/?curid=68787,Stiftgasse 35(SCHULE),Schule
15175,POINT (16.34478832568073 48.19978297473945),,,,,,,organisationen,VS Zieglergasse 21,https://www.geschichtewiki.wien.gv.at/?curid=68819,Zieglergasse 21-23(SCHULE),Schule
15176,POINT (16.35017001636822 48.20179904084544),,,,,1957.0,1883.0,organisationen,VS Zollergasse 41,https://www.geschichtewiki.wien.gv.at/?curid=70112,Zollergasse 41(SCHULE),Schule
15378,POINT (16.33888602578309 48.20732831553085),,,,,,1925.0,bauwerke,Wohnhaus Bernardgasse,https://www.geschichtewiki.wien.gv.at/?curid=62738,Bernardgasse 38/1,Gebäude
15380,POINT (16.338929543731112 48.20597555396534),,,,,,1925.0,bauwerke,Wohnhaus Neustiftgasse,https://www.geschichtewiki.wien.gv.at/?curid=62739,Neustiftgasse 143/1,Gebäude
15389,POINT (16.34043006512766 48.201309821420296),,,,,1930.0,1918.0,organisationen,Verlag der Wiener Graphischen Werkstätte,https://www.geschichtewiki.wien.gv.at/?curid=69264,Kaiserstraße 45/1,Verlag
15393,POINT (16.35617105430219 48.20527317944676),,,,,1979.0,1909.0,organisationen,Atelier Setzer-Tschiedel,https://www.geschichtewiki.wien.gv.at/?curid=70573,Neustiftgasse 3,Firma
15399,POINT (16.36021437700146 48.20173788535905),,,,,,1913.0,organisationen,Non Stop Kino,https://www.geschichtewiki.wien.gv.at/?curid=66803,Museumsplatz 1(HOF E3/10),Kino
15403,POINT (16.346641016128554 48.197636040718315),,,,,,,organisationen,Micco Film A.G.,https://www.geschichtewiki.wien.gv.at/?curid=69077,Mariahilfer Straße 88A/3,Filmindustrie
15466,POINT (16.35467257122109 48.20188082583321),,,,,,,organisationen,Verlagsbuchhandlung Wilhelm Müller,https://www.geschichtewiki.wien.gv.at/?curid=71633,Stiftgasse 15-17,Verlag
15520,POINT (16.348903015376727 48.201523040647764),,,,,,,organisationen,Alfa Film-Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69030,Neubaugasse 33/1,Filmindustrie
15521,POINT (16.354072016072696 48.20651104048862),,,,,,,organisationen,Artistic-Film Rakosi & Co. Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69032,Mechitaristengasse 8,Filmindustrie
15523,POINT (16.350099015825972 48.19857404122675),,,,,,,organisationen,Howo Film- und Kinematografen-Vertriebsgesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69027,Neubaugasse 2,Filmindustrie
15524,POINT (16.3489660159104 48.20086704128491),,,,,,,organisationen,Karol Filmvertrieb-Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69017,Neubaugasse 25/1,Filmindustrie
15525,POINT (16.346666015990625 48.19761604106948),,,,,,,organisationen,Kiko-Film Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69015,Mariahilfer Straße 88A/3,Filmindustrie
15526,POINT (16.34910101641726 48.2034430404858),,,,,,,organisationen,Pan-Film-Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69031,Neubaugasse 57,Filmindustrie
15527,POINT (16.34911001562111 48.20374804117331),,,,,,,organisationen,Patria Filmverleih- und Vertriebsgesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69026,Neubaugasse 68,Filmindustrie
15528,POINT (16.350108016214985 48.198568040745805),,,,,,,organisationen,Raf Film-Monopol-Vertriebs- und Verleihgesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69022,Neubaugasse 2,Filmindustrie
15550,POINT (16.35151901637936 48.20201604121907),,,,,,,organisationen,Vereinigte österreichische Film-Leihanstalten Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69034,Siebensterngasse 31,Filmindustrie
15551,POINT (16.349208015192833 48.2015250406305),,,,,,,organisationen,Wiener Lichtbilderei Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=69021,Neubaugasse 38,Filmindustrie
15567,POINT (16.34891301576601 48.20135404054592),,,,,,,organisationen,"Reich & Co., Gesellschaft für Kinoindustrie Filmverleih- und Vertrieb m.b.H.",https://www.geschichtewiki.wien.gv.at/?curid=69035,Neubaugasse 31,Filmindustrie
15568,POINT (16.349213015849102 48.20154204086443),,,,,,,organisationen,Star Filmfabriks- und Filmvertriebs-Aktiengesellschaft Zweigniederlassung Wien,https://www.geschichtewiki.wien.gv.at/?curid=69125,Neubaugasse 38,Filmindustrie
15594,POINT (16.3489660159104 48.20086704128491),,,,,,,organisationen,Friese & Kennedy Filmverleih- und Vertriebsgesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=68976,Neubaugasse 25/1,Filmindustrie
15595,POINT (16.349773016382183 48.19852704125394),,,,,,,organisationen,Nordisk Films Co. Gesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=68994,Neubaugasse 1,Filmindustrie
15596,POINT (16.351695015267325 48.19915504112546),,,,,,,organisationen,Primax Kino-Maschinenfabrik und Filmgesellschaft m.b.H.,https://www.geschichtewiki.wien.gv.at/?curid=68999,Mariahilfer Straße 58,Filmindustrie
