,shape,type_of_organization,type_of_structure,type_of_event,kind_of_object,date_of_destruction,date_of_origin,category_txt,page_name,weblink1,street,OBJECTTYPE
6972,POINT (16.35860901616918 48.20328004107663),,Gebäude,,,,1719.0,bauwerke,MuseumsQuartier,https://www.geschichtewiki.wien.gv.at/?curid=21030,Museumsplatz 1(HOF E1/5),Gebäude
6997,POINT (16.354539807280773 48.20530187079777),,Gebäude,,,,1712.0,Bauwerke,Schmauswaberl,https://www.geschichtewiki.wien.gv.at/?curid=9892,Faßziehergasse 12,Gebäude
7008,POINT (16.3420580145576 48.20171381487542),,Gebäude,,,,1908.0,Bauwerke,Schottenfelder Hof,https://www.geschichtewiki.wien.gv.at/?curid=12707,Westbahnstraße 27-29(GARTENHAUS),Gebäude
7019,POINT (16.341946306155553 48.19651069497518),,Gebäude,,,1996.0,1911.0,bauwerke,Stafa,https://www.geschichtewiki.wien.gv.at/?curid=16069,Mariahilfer Straße 120,Gebäude
7062,POINT (16.351678276390583 48.20551992939218),,Gebäude,,,1788.0,1629.0,Bauwerke,"Schottenhof (7, Neustiftgasse 30-36)",https://www.geschichtewiki.wien.gv.at/?curid=12850,Neustiftgasse 30,Gebäude
7076,POINT (16.352133903760897 48.20233419619064),,Gebäude,,,,1899.0,Bauwerke,Stefaniehof,https://www.geschichtewiki.wien.gv.at/?curid=40535,Siebensterngasse 38,Gebäude
7144,POINT (16.355575093259247 48.201103841488205),,Gebäude,,,,1739.0,Bauwerke,Stiftkaserne,https://www.geschichtewiki.wien.gv.at/?curid=17920,Stiftgasse 5-9,Gebäude
7178,POINT (16.3494000247669 48.20136633307758),,Gebäude,,,,1912.0,bauwerke,Renaissancetheater,https://www.geschichtewiki.wien.gv.at/?curid=25621,Neubaugasse 36/1,Theater
7220,POINT (16.349109028130204 48.20343372979269),,Gebäude,,,,1904.0,Bauwerke,Neubauhof,https://www.geschichtewiki.wien.gv.at/?curid=40387,Neubaugasse 57,Gebäude
7222,POINT (16.351909225942467 48.206229823002204),,Gebäude,,,,1376.0,Bauwerke,Neudeggerhof,https://www.geschichtewiki.wien.gv.at/?curid=17208,Lerchenfelder Straße 25,Gebäude
7256,POINT (16.354998922629616 48.20367699026425),,Gebäude,,,,,Bauwerke,Zum blauen Igel (7),https://www.geschichtewiki.wien.gv.at/?curid=9223,Spittelberggasse 13,Gebäude
7269,POINT (16.349098743038574 48.203726370566955),,Gebäude,,,,,Bauwerke,Zum goldenen Berg,https://www.geschichtewiki.wien.gv.at/?curid=8792,Neubaugasse 68,Gebäude
7287,POINT (16.358905706643263 48.201158987995456),,Gebäude,,,,,Bauwerke,Zum roten Krebs (7),https://www.geschichtewiki.wien.gv.at/?curid=18497,Mariahilfer Straße 18,Gebäude
7323,POINT (16.355538078987024 48.202832526366684),,Gebäude,,,,1862.0,Bauwerke,Zum schwarzen Adler (7),https://www.geschichtewiki.wien.gv.at/?curid=13395,Gutenberggasse 1-5,Gebäude
